pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
252,8436146075.226361274719,8436146075.252764701843,2.640342712402e-02,8436146075.239562988281,51.2811341570,11526.7221343803,1.3172314333e-02,0.9977730747,0.1974859425,14.9591143282,0
637,8436146190.445712089539,8436146190.487535476685,4.182338714600e-02,8436146190.466623306274,26.7615320583,4600.2920658079,2.0850779481e-02,0.9970870799,0.2733754504,13.0728508165,0
798,8436146238.697974205017,8436146238.736779212952,3.880500793457e-02,8436146238.717376708984,24.8325991262,5337.5220932900,1.9357316677e-02,0.9976710589,0.2837944572,14.6266923929,0
833,8436146249.142148971558,8436146249.183085441589,4.093647003174e-02,8436146249.162616729736,25.6314134104,4799.4862174997,2.0413507063e-02,0.9973262007,0.2793371643,13.6473498621,0
1577,8436146471.568831443787,8436146471.601534843445,3.270339965820e-02,8436146471.585183143616,19.9294541083,7499.9739865094,1.6329959939e-02,0.9986704813,0.3167869600,19.3733350867,0
2348,8436146702.030520439148,8436146702.073675155640,4.315471649170e-02,8436146702.052097320557,30.9565956826,4326.6517246484,2.1500028167e-02,0.9964161470,0.2541782588,11.7798599771,0
2478,8436146740.964076042175,8436146741.006277084351,4.220104217529e-02,8436146740.985176086426,43.9783131005,4536.0185172093,2.0997983419e-02,0.9951405148,0.2132532774,10.1065408063,0
2824,8436146844.256362915039,8436146844.300552368164,4.418945312500e-02,8436146844.278457641602,23.5880006174,4120.4631875775,2.2031394066e-02,0.9971335922,0.2911852906,13.1789497285,0
2989,8436146893.481051445007,8436146893.524987220764,4.393577575684e-02,8436146893.503019332886,31.5115920707,4175.8326164742,2.1884844078e-02,0.9962197640,0.2519299642,11.4681013305,0
3045,8436146910.309835433960,8436146910.346669197083,3.683376312256e-02,8436146910.328252792358,48.1784728201,5944.7260265115,1.8342100798e-02,0.9959395534,0.2037457147,11.0629866405,0
3537,8436147057.390511512756,8436147057.410842895508,2.033138275146e-02,8436147057.400676727295,27.3162188372,19380.6663787023,1.0158524796e-02,0.9992950229,0.2705856159,26.6175320415,0
3716,8436147110.878529548645,8436147110.899366378784,2.083683013916e-02,8436147110.888948440552,23.7002912731,18449.5143487515,1.0411721158e-02,0.9993574924,0.2904946618,27.8828074964,0
3958,8436147183.268393516541,8436147183.296576499939,2.818298339844e-02,8436147183.282485008240,42.5610745917,10114.5689657593,1.4061812665e-02,0.9978938330,0.2167747557,15.3833788762,0
4448,8436147329.858086585999,8436147329.895774841309,3.768825531006e-02,8436147329.876930236816,20.6596703337,5652.8577537571,1.8809661033e-02,0.9981709622,0.3111381780,16.5111478613,0
4724,8436147412.223665237427,8436147412.254438400269,3.077316284180e-02,8436147412.239051818848,29.3365332212,8477.1772562817,1.5359934570e-02,0.9982681760,0.2611022429,16.9694772177,0
4749,8436147419.722135543823,8436147419.766344070435,4.420852661133e-02,8436147419.744239807129,31.6124572153,4124.9532655391,2.2019400038e-02,0.9961607738,0.2515277295,11.3791500777,0
4759,8436147422.658586502075,8436147422.686855316162,2.826881408691e-02,8436147422.672720909119,24.6987912409,10035.6376204581,1.4117003175e-02,0.9987686878,0.2845621596,20.1325855920,0
5108,8436147527.224481582642,8436147527.268598556519,4.411697387695e-02,8436147527.246540069580,34.0909876317,4144.4386467527,2.1967576143e-02,0.9958786477,0.2422117493,10.9804335171,0
5222,8436147561.219235420227,8436147561.261531829834,4.229640960693e-02,8436147561.240383148193,26.0863779100,4497.8926481215,2.1086789122e-02,0.9970959388,0.2768905328,13.0928622746,0
5418,8436147619.654338836670,8436147619.673227310181,1.888847351074e-02,8436147619.663783073425,21.3831384964,22444.5146529527,9.4397368687e-03,0.9995235309,0.3058294287,32.3826516208,0
5838,8436147745.250795364380,8436147745.294975280762,4.417991638184e-02,8436147745.272885322571,27.6906939996,4126.3347871315,2.2015713616e-02,0.9966389898,0.2687497554,12.1661504770,0
5889,8436147760.471155166626,8436147760.509017944336,3.786277770996e-02,8436147760.490086555481,43.1502589851,5623.5465770578,1.8858617393e-02,0.9961560421,0.2152897208,11.3721038867,0
6022,8436147800.133894920349,8436147800.174850463867,4.095554351807e-02,8436147800.154373168945,61.9491839409,4831.3585408923,2.0346062007e-02,0.9935681600,0.1796789508,8.7743409251,0
6729,8436148011.670113563538,8436148011.703376770020,3.326320648193e-02,8436148011.686744689941,19.0917275587,7249.4823977914,1.6609688892e-02,0.9986823670,0.3236624995,19.4606914812,0
6825,8436148040.366667747498,8436148040.386557579041,1.988983154297e-02,8436148040.376612663269,20.4804268064,20242.6513681318,9.9398836327e-03,0.9994939989,0.3124967438,31.4227642503,0
