pair_rank,g,lambda_far,delta_corrected,prediction,abs_rel_err_pct
1,4.1522979736e-03,0.5930868175,1.3551158607e-06,1.2782191122e-06,6.0159
2,6.2494277954e-03,-0.0556722392,-2.7189864506e-07,-2.7178733301e-07,0.0410
3,8.9607238770e-03,2.1516813105,2.1408638050e-05,2.1596041346e-05,0.8678
4,9.4823837280e-03,0.7096719521,8.2495715990e-06,7.9763225249e-06,3.4258
5,1.0898590088e-02,2.5446631014,3.7492875755e-05,3.7781651895e-05,0.7643
6,1.1343955994e-02,2.2981190186,3.7246493055e-05,3.6966777715e-05,0.7567
7,1.2537002563e-02,-1.4665289704,-2.8719883551e-05,-2.8812974109e-05,0.3231
8,1.3213157654e-02,3.3280938076,7.2655148665e-05,7.2630461842e-05,0.0340
9,1.3957023621e-02,2.2463699640,5.4890015900e-05,5.4698689773e-05,0.3498
10,1.4451026917e-02,1.7293580540,4.4790109875e-05,4.5143201324e-05,0.7822
11,1.4854431152e-02,0.7473828853,2.1015593168e-05,2.0614139561e-05,1.9475
12,1.5318870544e-02,-0.9660019440,-2.7845273078e-05,-2.8336193241e-05,1.7325
13,1.5573501587e-02,-0.4820551099,-1.4618595359e-05,-1.4614341342e-05,0.0291
14,1.6119956970e-02,-0.2258113811,-7.1937299701e-06,-7.3347209607e-06,1.9222
15,1.6332626343e-02,1.8942368903,6.3699901718e-05,6.3162070208e-05,0.8515
