cutoff,X,a,se_a,b,se_b,R2
sharp,100,1.847308,0.040948,0.751665,0.016218,0.933881
exp4,100,1.863071,0.037502,0.776615,0.015178,0.944541
bump,100,1.860685,0.039473,0.767853,0.015893,0.938558
sharp,1000,1.978015,0.040757,0.733051,0.015693,0.934781
exp4,1000,1.978146,0.038142,0.743894,0.014780,0.942877
bump,1000,1.975122,0.040027,0.734798,0.015414,0.937082
sharp,10000,1.978137,0.037531,0.782935,0.015278,0.944691
exp4,10000,1.981490,0.035504,0.788028,0.014460,0.950514
bump,10000,1.981907,0.036662,0.782539,0.014876,0.947235
sharp,100000,1.968632,0.035479,0.829258,0.015211,0.950542
exp4,100000,1.966668,0.033486,0.834834,0.014376,0.955936
bump,100000,1.965373,0.034590,0.831283,0.014832,0.952980
sharp,1000000,1.932014,0.037742,0.898758,0.017673,0.943925
exp4,1000000,1.928601,0.035996,0.910885,0.016997,0.948984
bump,1000000,1.927012,0.037773,0.900673,0.017729,0.943820
sharp,10000000,1.867719,0.033938,0.944130,0.016528,0.954584
exp4,10000000,1.878711,0.032097,0.951794,0.015683,0.959381
bump,10000000,1.876460,0.033499,0.942065,0.016259,0.955755
